"Date","Price","Open","High","Low","Change %"
"Jun 10, 2018","0.8485","0.8493","0.8496","0.8485","-0.15%"
"Jun 08, 2018","0.8498","0.8475","0.8528","0.8467","0.26%"
"Jun 07, 2018","0.8476","0.8495","0.8496","0.8446","-0.21%"
"Jun 06, 2018","0.8494","0.8532","0.8539","0.8477","-0.47%"
"Jun 05, 2018","0.8534","0.8547","0.8582","0.8523","-0.16%"
"Jun 04, 2018","0.8548","0.8579","0.8581","0.8513","-0.26%"
"Jun 03, 2018","0.8570","0.8576","0.8577","0.8570","-0.07%"
"Jun 01, 2018","0.8576","0.8551","0.8607","0.8532","0.28%"
"May 31, 2018","0.8552","0.8572","0.8591","0.8529","-0.27%"
"May 30, 2018","0.8575","0.8667","0.8683","0.8563","-1.05%"
"May 29, 2018","0.8666","0.8602","0.8689","0.8591","0.73%"
"May 28, 2018","0.8603","0.8582","0.8616","0.8525","0.56%"
"May 27, 2018","0.8555","0.8557","0.8564","0.8553","-0.31%"
"May 25, 2018","0.8582","0.8532","0.8589","0.8522","0.59%"
"May 24, 2018","0.8532","0.8548","0.8555","0.8508","-0.21%"
"May 23, 2018","0.8550","0.8489","0.8566","0.8481","0.72%"
"May 22, 2018","0.8489","0.8480","0.8506","0.8452","0.09%"
"May 21, 2018","0.8481","0.8502","0.8536","0.8477","-0.12%"
"May 18, 2018","0.8491","0.8479","0.8512","0.8459","0.15%"
"May 17, 2018","0.8478","0.8469","0.8492","0.8448","0.11%"
"May 16, 2018","0.8469","0.8447","0.8501","0.8435","0.25%"
"May 15, 2018","0.8448","0.8384","0.8460","0.8376","0.75%"
"May 14, 2018","0.8385","0.8371","0.8386","0.8337","0.14%"
"May 11, 2018","0.8373","0.8394","0.8410","0.8356","-0.24%"
"May 10, 2018","0.8393","0.8439","0.8445","0.8370","-0.53%"
"May 09, 2018","0.8438","0.8427","0.8458","0.8405","0.12%"
"May 08, 2018","0.8428","0.8387","0.8448","0.8377","0.49%"
"May 07, 2018","0.8387","0.8367","0.8407","0.8348","0.31%"
"May 04, 2018","0.8361","0.8341","0.8397","0.8337","0.24%"
"May 03, 2018","0.8341","0.8367","0.8371","0.8327","-0.31%"
